date,vis,hom,vis_score,hom_score,line,tag
20000903,ARI,NYG,16,21,6.5,1.0
20000903,BAL,PIT,16,0,-2.5,1.0
20000903,CAR,WAS,17,20,10.5,1.0
20000903,CHI,MIN,27,30,4.5,1.0
20000903,DET,NOR,14,10,0,1.0
20000903,IND,KAN,27,14,-3.5,1.0
20000903,JAX,CLE,27,7,-10.5,1.0
20000903,NYJ,GNB,20,16,2.5,1.0
20000903,PHI,DAL,41,14,6,1.0
20000903,SDG,OAK,6,9,6.5,1.0
20000903,SEA,MIA,0,23,2,0.0
20000903,SFO,ATL,28,36,6.5,0.0
20000903,TAM,NWE,21,16,-3,1.0
20000903,TEN,BUF,13,16,1,0.0
20000904,DEN,STL,36,41,6.5,1.0
20000910,ATL,DEN,14,42,4.5,0.0
20000910,CAR,SFO,38,22,-3,1.0
20000910,CHI,TAM,0,41,7,0.0
20000910,CLE,CIN,24,7,6,1.0
20000910,DAL,ARI,31,32,3,1.0
20000910,GNB,BUF,18,27,6,0.0
20000910,JAX,BAL,36,39,3,0.0
20000910,KAN,TEN,14,17,8.5,1.0
20000910,MIA,MIN,7,13,3,0.0
20000910,NOR,SDG,28,27,5.5,1.0
20000910,NYG,PHI,33,18,3,1.0
20000910,OAK,IND,38,31,6.5,1.0
20000910,STL,SEA,37,34,-7.5,0.0
20000910,WAS,DET,10,15,-5.5,0.0
20000911,NWE,NYJ,19,20,6.5,1.0
20000917,ATL,CAR,15,10,6,1.0
20000917,BAL,MIA,6,19,-1.5,0.0
20000917,BUF,NYJ,14,27,1,0.0
20000917,CIN,JAX,0,13,13,0.0
20000917,DEN,OAK,33,24,3,1.0
20000917,MIN,NWE,21,13,1.5,1.0
20000917,NOR,SEA,10,20,6,0.0
20000917,NYG,CHI,14,7,2,1.0
20000917,PHI,GNB,3,6,4,1.0
20000917,PIT,CLE,20,23,-2.5,0.0
20000917,SDG,KAN,10,42,4.5,0.0
20000917,SFO,STL,24,41,17,0.0
20000917,TAM,DET,31,10,-3,1.0
20000918,DAL,WAS,27,21,10.5,1.0
20000924,CIN,BAL,0,37,11.5,0.0
20000924,CLE,OAK,10,36,10.5,0.0
20000924,DET,CHI,21,14,1,1.0
20000924,GNB,ARI,29,3,1,1.0
20000924,KAN,DEN,23,22,7,1.0
20000924,NWE,MIA,3,10,4.5,0.0
