Date,Round,Visitor,Visitor Score,Home Team,Home Score,Line,Total Line
01/03/2009,WC,Atlanta Falcons,24,Arizona Cardinals,30,2,52
01/03/2009,WC,Indianapolis Colts,17,San Diego Chargers,23,-2.5,50
01/04/2009,WC,Baltimore Ravens,27,Miami Dolphins,9,-3.5,38
01/04/2009,WC,Philadelphia Eagles,26,Minnesota Vikings,14,-3.5,41
01/10/2009,DP,Baltimore Ravens,13,Tennessee Titans,10,3,33.5
01/10/2009,DP,Arizona Cardinals,33,Carolina Panthers,13,10,49.5
01/11/2009,DP,Philadelphia Eagles,23,New York Giants,11,4,39
01/11/2009,DP,San Diego Chargers,24,Pittsburgh Steelers,35,6.5,38.5
01/18/2009,CC,Philadelphia Eagles,25,Arizona Cardinals,32,-3.5,47
01/18/2009,CC,Baltimore Ravens,14,Pittsburgh Steelers,23,6,35.5
02/01/2009,SB,Pittsburgh Steelers,27,Arizona Cardinals,23,-6.5,46.5
